description,homeTown,id,imgId,isVerified,memberSince,name,numFollowers,numStatus
"father, commercial banker, badass guitar player, Miss the 80s. #MAGA pro Trump.  Recovering Dem, Russian bot farmer & Putin's personal bartender","Philadelphia, PA",785231424664309760,1009209813383958529,False,Sun Oct 09 21:32:15 +0000 2016,Deplorable Rocky🎸 🇺🇸   A hot spark of divinity,5584,46879
"We go there. Get the latest Philadelphia news, sports and weather. https://t.co/n7Tl8bmB1s","Philadelphia, PA",14787713,1009209813383958529,True,Thu May 15 15:51:17 +0000 2008,FOX 29,598828,241382
"Student, aspiring artist 👩‍🎤 🎤🎭🎨. Lover of dogs and coffee ☕️ Banner art by: @itsmaeril","Ohio, USA",930226625580601344,1008174773426323456,False,Tue Nov 14 00:11:25 +0000 2017,Lindsay Ward ♎️,88,2911
Con FE EN DIOS cualquier milagro puede suceder porque SOLO EN DIOS ESTA EL PODER . AMEN .,Venezuela .,766087955584782336,1008174773426323456,False,Thu Aug 18 01:42:56 +0000 2016,Yurima Santos,726,13371
"Don't pee on my back and tell me it's raining... What I have, I worked for. What I lost, I screwed up.
Proud Pink Pig.","Johannesburg, South Africa",783677214940401664,1008174773426323456,False,Wed Oct 05 14:36:22 +0000 2016,The Pink Pig,2064,15985
主婦です,,924829876296626176,1008174773426323456,False,Mon Oct 30 02:46:39 +0000 2017,yura,368,14321
"Enamorado de la vida, enamorado de Anita.....El amor es la fuerza más humilde, pero la más poderosa de que dispone el ser humano. Mahatma Gandhi👣","Medellín, Colombia",1000379821,1008174773426323456,False,Sun Dec 09 22:46:29 +0000 2012,Alberto de Lucía,5900,37532
Volpina @_BTOB_ILL 사랑해♡{Your' since 150313& 270214»∞}《Per sempre mio》♥ →15*05*14←Just Married♥ |Shiko Eun Ilhyun Soonmi♡| H&M⭐ #AmoreAllaMenta ♡LilGigant 🎓Jucy,mangio il muso della Volpina ♥,1257656809,1007995087253458949,False,Sun Mar 10 18:19:40 +0000 2013,임현식🐺Immanuel,2018,124999
Animal lover.,Australia,585449610,1008174773426323456,False,Sun May 20 04:49:44 +0000 2012,Bellz Webster,1786,233188
"En esencia ser humano, mujer, venezolana, amante de la alegría, del instante que inmortaliza una foto, de la poesía..en sí...amante de la vida!","Caracas, Venezuela",106590340,1008174773426323456,False,Wed Jan 20 01:46:42 +0000 2010,Angela Farias,2454,15224
🔬#Consultoría Gerencial PhD in Social Sciences #Empresas #Política #Socialnetwork #Escritora  #Coaching #Eco #Ecología #Fauna #Mascotas #Marketing #Libertad,Venezuela,386294234,1008174773426323456,False,Fri Oct 07 00:41:36 +0000 2011,MaríaMasGuasare,57311,249967
,,867072487342968832,1009199238650171393,False,Tue May 23 17:39:25 +0000 2017,irumas amano,7,1233
"soy economista y musico,tengo dos hijos que adoro,me encanta el deporte, me gusta estar bien informado de todos los acontecimientos del mundo,me fascina cantar","medellin,antioquia,colombia",279715685,1008174773426323456,False,Sat Apr 09 21:30:35 +0000 2011,carlos arturo muñoz,3259,25293
"Tweet your inspirations 😊: Songs▪Quotes▪Prayer▪Pics▪DIY Crafts for Home and Holidays||
'And Still I Rise' - #MayaAngelou
#SacredLightSacredHealingSacredLove",United States,4810360658,1008174773426323456,False,Mon Jan 25 03:00:56 +0000 2016,Bettybheart,2642,27957
